Station,District,Elevation(masl),Max,Min,Year
Pokhara Airport,Kaski,803.9,27.3,16.3,2019
Syangja,Syangja,871,27.3,15.5,2019
Bandipur,Tanahu,991,26,14.3,2019
Gorkha Birenchowk ,Gorkha,724,27.3,16.9,2019
Chapakot,Syangja,617,29.2,16.8,2019
Malepatan Pokhara ,Kaski,859,27.3,13.7,2019
Lumle,Kaski,1738,20.3,11.7,2019
Khairini Tar,Tanahun,515,29.2,17.4,2019
Damauli,Tanahun,347,NA,NA,2019
Dandaswara,Syangja,1316,23.6,14.3,2019
Ghalekharka,Kaski,1665,21.3,12.5,2019
Begnas,Kaski,682,28.5,16.2,2019
Bhorletar,Lamjung,469,NA,NA,2019
Panchase,Parbat,2492,18,8.2,2019
Humde,Manang,3401,NA,NA,2019
Rampur,Chitwan,189,30.8,NA,2019
Daman,Makwanpur,2265,18.4,7.5,2019
Hetauda N F I ,Makwanpur,452,29.3,17.6,2019
Simara Airport,Bara,137,NA,NA,2019
Parwanipur,Bara,87,NA,NA,2019
Birganj,Parsa,67,NA,NA,2019
Kalaiya,Bara,100,NA,NA,2019
Gaur,Rautahat,77,31.9,20.2,2019
Bharatpur,Chitwan,216,31.4,19.5,2019
Kakani,Nuwakot,2002,NA,NA,2019
Chautara,Sindhupalchok,1552,25,12.3,2019
Sarmathang,Sindhupalchok,2574,NA,NA,2019
Dhulikhel,Kavre,1543,23.8,12.3,2019
Khumaltar,Lalitpur,1334,24.7,12.8,2019
Kathmandu Airport,,1337,25.6,13.1,2019
Panchkhal,Kavre,857,28.7,14.6,2019
Dhunibesi,Dhading,991,26.9,16,2019
Panipokhari Kathmandu ,Kathmandu,1329,25.9,13.7,2019
Nagarkot,Bhaktapur,,19,10.1,2019
Bhaktapur,Bhaktapur,1315,26.3,12.4,2019
Dhunche,Rasuwa,2005,20.2,10.6,2019
Pansayakhola,Nuwakot,1982,19.4,11.9,2019
Changu Narayan,Bhaktapur,1502,25.2,13.5,2019
Khokana,Lalitpur,1309,24.9,11.6,2019
Charikot,Dolakha,2132,23.2,10,2019
Jiri,Dolakha,1877,21,8.5,2019
Sindhuli Madhi,Sindhuli,556,29.4,17.1,2019
Janakpur Airport,Dhanusha,76,NA,19.7,2019
Hardinath,Dhanusha,93,30.4,19.9,2019
Manusmara,Sarlahi,90,30.4,19,2019
Karmaiya,Sarlahi,139,31.5,20.2,2019
Jalesor,Mahottari,68,NA,NA,2019
Manthali,Ramechhap,497,30.7,17.1,2019
Kabre,Dolakha,1755,23,12,2019
Phattepur,Saptari,101,31.2,19.1,2019
Udayapur Gadhi,,469,29.5,19,2019
Lahan,Siraha,110,30.5,19.8,2019
Siraha,,63,32,NA,2019
Salleri,,2383,18.8,8.6,2019
Diktel,Khotang,1612,22.5,13.8,2019
Rajbiraj,Saptari,68,30.3,20.5,2019
Num,Sankhuwasabha,1494,22.6,12.8,2019
Chainpur East ,Sankhuwasabha,1277,NA,NA,2019
Pakhribas,Dhankuta,1720,21,12.7,2019
Dhankuta,Dhankuta,1192,25.5,15.4,2019
Dharan Bazar,sunsari,310,29.9,20.6,2019
Terhathum,,1525,23.6,13.5,2019
Chatara,Sunsari,105,31.2,19.4,2019
Biratnagar Airport,Morang,72,30.8,19.4,2019
Tarahara,Sunsari,120,29.8,18.7,2019
Tumlingtar,Sankhuwasabha,477,NA,NA,2019
Khadbari,Sankhuwasabha,1064,25.7,16.5,2019
Taplejung,Taplejung,1744,21.9,12.4,2019
Ilam Tea Estate,Ilam,1208,23.5,13.9,2019
Damak,Jhapa,119,30.8,17,2019
Chandra Gadhi,Jhapa,90,31,21.2,2019
Kanyam Tea Estate,Ilam,1570,20.7,12.9,2019
Phidim Panchther ,Panchthar,1157,NA,15.3,2019
Dovan,TAPLEJUNG,700,NA,NA,2019
Gaida Kankai ,Jhapa,107,30.9,19,2019
Kechana,Jhapa,71,30.1,19.1,2019
