Station,District,Elevation(masl),Max,Min,Year
Gaida Kankai ,Jhapa,107.0,30.9,19.0,2019
Kechana,Jhapa,71.0,30.1,19.1,2019
Nuwakot,Nuwakot,966.0,27.4,16.3,2019
Chisapani Karnali ,Kailali,201.0,30.2,19.9,2019
Jyamirebari,,1525.0,22.5,12.4,2019
Lete,Mustang,2617.0,17.0,6.0,2019
Okhaldhunga,,1725.0,22.5,12.6,2019
Dailekh,Dailekh,1394.0,24.7,14.0,2020
Libang Gaun,Rolpa,1314.0,26.1,12.0,2020
Bijuwar Tar,Pyuthan,835.0,28.6,16.0,2020
Salyan Bazar,Salyan,1557.0,24.6,14.0,2020
Ghalekharka,Kaski,1665.0,20.9,12.0,2020
Chautara,Sindhupalchok,1552.0,25.1,13.0,2020
Chisapani Karnali ,Kailali,201.0,29.1,19.0,2020
Dailekh,Dailekh,1394.0,24.7,15.0,2021
Libang Gaun,Rolpa,1314.0,26.4,13.0,2021
Bijuwar Tar,Pyuthan,835.0,28.4,16.0,2021
Ghalekharka,Kaski,1665.0,21.4,13.0,2021
Chautara,Sindhupalchok,1552.0,25.0,13.0,2021
Chisapani Karnali ,Kailali,201.0,29.9,20.0,2021
Jyamirebari,,1525.0,22.3,13.0,2021
Dailekh,Dailekh,1394.0,24.3,14.6,2022
Mehalkuna,Surkhet,464.0,30.5,17.1,2022
Libang Gaun,Rolpa,1314.0,26.4,13.3,2022
Bijuwar Tar,Pyuthan,835.0,29.4,16.1,2022
Salyan Bazar,Salyan,1557.0,20.5,14.1,2022
Ghalekharka,Kaski,1665.0,21.6,12.7,2022
Rampur,Chitwan,189.0,30.5,18.6,2022
Daman,Makwanpur,2265.0,19.0,9.2,2022
Simara Airport,Bara,137.0,30.3,19.6,2022
Parwanipur,Bara,87.0,30.4,19.4,2022
Birganj,Parsa,67.0,31.5,20.7,2022
Kalaiya,Bara,100.0,30.4,20.4,2022
Gaur,Rautahat,77.0,31.5,18.5,2022
Bharatpur,Chitwan,216.0,30.8,19.9,2022
Kakani,Nuwakot,2002.0,19.3,11.5,2022
Chautara,Sindhupalchok,1552.0,25.6,13.5,2022
Sarmathang,Sindhupalchok,2574.0,17.0,8.1,2022
Dhulikhel,Kavre,1543.0,24.1,12.8,2022
Khumaltar,Lalitpur,1334.0,25.2,13.4,2022
Kathmandu Airport,,1337.0,25.6,14.0,2022
Panchkhal,Kavre,857.0,28.9,15.3,2022
Panipokhari Kathmandu ,Kathmandu,1329.0,26.3,14.4,2022
Bhaktapur,Bhaktapur,1315.0,26.9,13.0,2022
Dhunche,Rasuwa,2005.0,20.0,10.8,2022
Changu Narayan,Bhaktapur,1502.0,25.9,13.7,2022
Khokana,Lalitpur,1309.0,25.9,12.0,2022
Charikot,Dolakha,2132.0,22.5,10.3,2022
Jiri,Dolakha,1877.0,21.0,9.3,2022
Sindhuli Madhi,Sindhuli,556.0,29.1,17.2,2022
Janakpur Airport,Dhanusha,76.0,30.8,20.1,2022
Hardinath,Dhanusha,93.0,30.1,20.2,2022
Manusmara,Sarlahi,90.0,30.1,19.9,2022
Karmaiya,Sarlahi,139.0,30.9,20.5,2022
Jalesor,Mahottari,68.0,31.1,20.6,2022
Manthali,Ramechhap,497.0,30.8,17.3,2022
Kabre,Dolakha,1755.0,23.9,12.0,2022
Phattepur,Saptari,101.0,30.3,19.4,2022
Udayapur Gadhi,,469.0,29.5,18.8,2022
Lahan,Siraha,110.0,30.9,20.1,2022
Siraha,,63.0,31.2,20.5,2022
Diktel,Khotang,1612.0,22.1,14.1,2022
Rajbiraj,Saptari,68.0,30.5,20.3,2022
Num,Sankhuwasabha,1494.0,22.7,13.3,2022
Nuwakot,Nuwakot,966.0,27.2,16.6,2022
Chisapani Karnali ,Kailali,201.0,29.9,20.2,2022
Okhaldhunga,,1725.0,22.3,13.3,2022
